# Benjamin Haibe-Kains. All rights reserved.
# modelname: EEI
# mean.1: -0.786424 -0.699885
# mean.2: 0.0259983 0.736014
# mean.3: 0.539605 -0.509828
# sigma: 0.0742857 0.0543618
# pro: 0.299419 0.139535 0.561047
# scale: 0.0635476
# shape: 1.16898 0.855449
# cutoff.AURKA: -0.202763
"module","probe","EntrezGene.ID","coefficient"
"","203967_at","990","22.0657"
"","200783_s_at","3925","22.0649"
"","205436_s_at","3014","21.9816"
"","204947_at","1869","21.9254"
"","218730_s_at","4969","-21.9163"
"","218782_s_at","29028","21.8976"
"","208696_at","22948","21.8831"
"","215942_s_at","51512","21.8747"
"","204244_s_at","10926","21.8382"
"","219493_at","79801","21.8139"
"","218447_at","56942","21.749"
"","201761_at","10797","21.6276"
"","213523_at","898","21.553"
"","214431_at","8833","21.4845"
"","217851_s_at","51012","21.4785"
"","201342_at","6631","21.4477"
"","202240_at","5347","21.277"
"","201281_at","11047","21.2468"
"","219494_at","25788","21.2348"
"","219510_at","10721","21.1816"
"","204441_s_at","23649","21.169"
"","209832_s_at","81620","21.1603"
"","213520_at","9401","21.1451"
"","209540_at","3479","-21.0774"
"","205393_s_at","1111","21.0577"
"","212419_at","219654","-20.9346"
"","206316_s_at","9735","20.8698"
"","219004_s_at","54069","20.785"
"","221258_s_at","81930","20.6427"
"","218115_at","55723","20.627"
"","204359_at","23768","-20.6123"
"","202690_s_at","6632","20.6122"
"","212865_s_at","7373","-20.5841"
"","213562_s_at","6713","20.5456"
"","202673_at","8813","20.4224"
"","211088_s_at","10733","20.3995"
"","201555_at","4172","20.392"
"","218586_at","55257","20.3897"
"","212296_at","10213","20.2905"
"","218901_at","57088","-20.2197"
"","202735_at","10682","20.1293"
"","203560_at","8836","20.1243"
"","202552_s_at","51232","-20.1214"
"","201853_s_at","994","20.0915"
"","205383_s_at","26137","-20.0387"
"","213008_at","55215","20.0139"
"","212494_at","23371","-19.9334"
"","202709_at","2331","-19.9329"
"","200830_at","5708","19.9006"
"","203065_s_at","857","-19.8931"
"","218656_s_at","10186","-19.7853"
"","212281_s_at","27346","19.7508"
"","218875_s_at","26271","19.7196"
"","216952_s_at","84823","19.6491"
"","203270_at","1841","19.6069"
"","205240_at","29899","19.6066"
"","219650_at","54821","19.57"
"","220060_s_at","55010","19.4653"
"","211072_x_at","10376","19.4626"
"","214724_at","85458","-19.4106"
"","204072_s_at","10129","-19.2514"
"","212160_at","11260","19.201"
"","212832_s_at","9793","19.1968"
"","211813_x_at","1634","-19.1792"
"","216977_x_at","6627","19.1317"
"","208545_x_at","6874","19.0865"
"","204510_at","8317","19.0707"
"","211935_at","23204","18.9714"
"","209687_at","6387","-18.9675"
"","219061_s_at","8270","18.9658"
"","205053_at","5557","18.9598"
"","206767_at","27303","-18.9008"
"","213519_s_at","3908","-18.8443"
"","218252_at","26586","18.7882"
"","209047_at","358","-18.7455"
"","206632_s_at","9582","18.7415"
"","206481_s_at","9079","-18.6837"
"","209747_at","7043","-18.675"
"","204766_s_at","4521","18.6619"
"","219787_s_at","1894","18.6116"
"","202633_at","11073","18.5986"
"","209482_at","10248","18.5797"
"","204115_at","2791","-18.5773"
"","205644_s_at","6637","18.556"
"","217835_x_at","55969","18.5143"
"","201787_at","2192","-18.512"
"","221741_s_at","54915","18.481"
"","213011_s_at","7167","18.4733"
"","204719_at","10351","-18.4503"
"","219588_s_at","54892","18.4227"
"","217889_s_at","79901","-18.3522"
"","220668_s_at","1789","18.3085"
"","216228_s_at","11169","18.3012"
"","203806_s_at","2175","18.2816"
"","219544_at","79866","18.2737"
"","204775_at","8208","18.2612"
"","213405_at","57403","18.2583"
"","219363_s_at","51001","18.2497"
"","201497_x_at","4629","-18.2192"
"","205362_s_at","5203","18.2157"
"","212914_at","23492","-18.1557"
"","205226_at","5157","-18.1438"
"","205158_at","6038","-18.1337"
"","203612_at","705","18.1171"
"","205909_at","5427","18.1168"
"","219304_s_at","80310","-18.0999"
"","212619_at","23306","18.0923"
"","220865_s_at","23590","18.079"
"","219402_s_at","79139","18.0748"
"","209825_s_at","7371","18.0503"
"","205449_at","29901","18.0358"
"","202190_at","1477","18.0339"
"","209897_s_at","9353","-18.0242"
"","221677_s_at","29980","18.0023"
"","218049_s_at","28998","17.9947"
"","201326_at","908","17.9867"
"","218982_s_at","51373","17.9376"
"","205528_s_at","862","-17.9312"
"","207808_s_at","5627","-17.9269"
"","201014_s_at","10606","17.8846"
"","202352_s_at","5718","17.8776"
"","202726_at","3978","17.8681"
"","214061_at","93594","17.8625"
"","208805_at","5687","17.7884"
"","218482_at","56943","17.7777"
"","213088_s_at","23234","17.7608"
"","201663_s_at","10051","17.7207"
"","202487_s_at","94239","17.6634"
"","205908_s_at","4958","-17.6576"
"","216548_x_at","3149","17.6007"
"","206101_at","1842","-17.583"
"","209478_at","201254","17.562"
"","215947_s_at","84908","17.5614"
"","201433_s_at","9791","17.5404"
"","201697_s_at","1786","17.5359"
"","216331_at","3679","-17.5285"
"","207334_s_at","7048","-17.5272"
"","205407_at","8434","-17.5258"
"","204051_s_at","6424","-17.5127"
"","220607_x_at","51497","17.5125"
"","218589_at","10161","-17.4876"
"","220295_x_at","55635","17.4569"
"","207977_s_at","1805","-17.3895"
"","200039_s_at","5690","17.3263"
"","203698_s_at","2487","-17.2956"
"","209355_s_at","8613","-17.2952"
"","208775_at","7514","17.2823"
"","219455_at","79846","-17.2542"
"","219213_at","58494","-17.2485"
"","212558_at","10252","-17.1985"
"","202043_s_at","6611","17.1921"
"","201195_s_at","8140","17.19"
"","201896_s_at","84722","17.1875"
"","203208_s_at","9650","17.1529"
"","201714_at","7283","17.134"
