# Benjamin Haibe-Kains. All rights reserved.
# model.name: EEI
# mean.1: -0.673211 -0.73176
# mean.2: 0.0205898 0.695856
# mean.3: 0.472702 -0.325296
# sigma: 0.105157 0.0723926
# pro: 0.271955 0.13881 0.589235
# scale: 0.0872499
# shape: 1.20523 0.829715
# gaussian.AURKA.mean: -0.243212
# gaussian.AURKA.sigma: 0.229011
# rescale.q: 0.05
"module","probe","EntrezGene.ID","coefficient"
"","219779_at","79776","-0.375988132"
"","205405_at","9037","-0.375777185"
"","219933_at","51022","0.373617007"
"","209481_at","54861","-0.368145569"
"","221741_s_at","54915","0.367355134"
"","222231_s_at","55379","0.366371991"
"","209478_at","201254","0.363815143"
"","220141_at","79864","-0.358181069"
"","202567_at","6634","0.356764571"
"","202861_at","5187","-0.356623495"
"","208117_s_at","81887","0.355525467"
"","219215_s_at","55630","0.353664658"
"","205528_s_at","862","-0.351438584"
"","202177_at","2621","-0.350610245"
"","218665_at","8322","-0.350485856"
"","220011_at","79000","0.34885364"
"","209189_at","2353","-0.348531369"
"","218983_at","51279","-0.348014893"
"","218724_s_at","60436","0.347072353"
"","212558_at","10252","-0.346271902"
"","218719_s_at","64785","0.345282183"
"","208893_s_at","1848","-0.34350182"
"","221958_s_at","79971","-0.342767301"
"","218408_at","26519","0.342150925"
"","202282_at","3028","0.341783943"
"","219132_at","57161","-0.340004348"
"","221814_at","25960","-0.338678049"
"","206683_at","7718","0.338079971"
"","204417_at","2581","-0.337288552"
"","209076_s_at","56270","0.337179642"
"","218087_s_at","10580","-0.336071433"
"","201303_at","9775","0.334470277"
"","205292_s_at","3181","0.334227798"
"","204407_at","8458","0.333371618"
"","204363_at","2152","-0.331769994"
"","215096_s_at","2098","-0.331656536"
"","219961_s_at","55857","-0.330455354"
"","204731_at","7049","-0.328071026"
"","204677_at","1003","-0.32733789"
"","218491_s_at","29087","-0.324985306"
"","206143_at","1811","-0.324969954"
"","220504_at","11081","-0.323492695"
"","209047_at","358","-0.32225578"
"","207147_at","1746","-0.320794793"
"","204391_x_at","8805","0.320229877"
"","204459_at","1478","0.319509099"
"","215073_s_at","7026","-0.317884422"
"","218132_s_at","79042","0.316134089"
"","203777_s_at","6199","0.316080366"
"","213140_s_at","26039","0.31535083"
"","212328_at","22998","-0.313563524"
"","203240_at","8857","-0.311440912"
"","213425_at","7474","-0.310399031"
"","203888_at","7056","-0.308462398"
"","205542_at","26872","-0.304158203"
"","42361_g_at","54535","0.303212335"
"","203039_s_at","4719","0.303109253"
"","210102_at","4013","-0.302795949"
"","209916_at","55526","0.302461461"
"","219501_at","55068","-0.299596416"
"","220223_at","79915","0.298348091"
"","215399_s_at","10956","-0.295525161"
"","209233_at","10436","0.29513303"
"","217720_at","51142","0.294292226"
"","219905_at","114625","-0.293725477"
"","204868_at","3396","0.292070088"
"","205708_s_at","7226","0.290916974"
"","201491_at","10598","0.290857764"
"","201772_at","51582","0.28911943"
"","205464_at","6338","0.28820584"
"","219908_at","27123","-0.286583179"
"","204011_at","10253","-0.285256447"
"","218272_at","55020","-0.284807018"
"","201625_s_at","3638","0.284659697"
"","201288_at","397","-0.284313425"
"","204472_at","2669","-0.280509659"
"","219700_at","57125","-0.278558967"
"","219993_at","64321","-0.278019335"
"","217504_at","23460","-0.274267722"
